127.0.0.1 - - [20/Dec/2024:00:08:23 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [20/Dec/2024:00:09:26 +0530] "GET /spring-mvc-simple/ HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [20/Dec/2024:00:09:33 +0530] "GET /spring-mvc-simple/Welcome HTTP/1.1" 200 1037
0:0:0:0:0:0:0:1 - - [20/Dec/2024:00:09:51 +0530] "GET /spring-mvc-simple/Register HTTP/1.1" 200 2259
0:0:0:0:0:0:0:1 - - [20/Dec/2024:00:10:03 +0530] "GET /spring-mvc-simple/Login HTTP/1.1" 200 1704
0:0:0:0:0:0:0:1 - - [20/Dec/2024:00:10:06 +0530] "POST /spring-mvc-simple/Login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Dec/2024:00:10:06 +0530] "GET /spring-mvc-simple/Register HTTP/1.1" 200 2259
0:0:0:0:0:0:0:1 - - [20/Dec/2024:00:11:38 +0530] "POST /spring-mvc-simple/Register HTTP/1.1" 200 2653
0:0:0:0:0:0:0:1 - - [20/Dec/2024:00:11:58 +0530] "GET /spring-mvc-simple/Login HTTP/1.1" 200 1704
0:0:0:0:0:0:0:1 - - [20/Dec/2024:00:12:01 +0530] "POST /spring-mvc-simple/Login HTTP/1.1" 200 1834
0:0:0:0:0:0:0:1 - - [20/Dec/2024:00:12:05 +0530] "POST /spring-mvc-simple/Login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Dec/2024:00:12:05 +0530] "GET /spring-mvc-simple/Register HTTP/1.1" 200 2259
0:0:0:0:0:0:0:1 - - [20/Dec/2024:00:12:40 +0530] "POST /spring-mvc-simple/Register HTTP/1.1" 200 2380
0:0:0:0:0:0:0:1 - - [20/Dec/2024:00:12:51 +0530] "GET /spring-mvc-simple/Login HTTP/1.1" 200 1704
0:0:0:0:0:0:0:1 - - [20/Dec/2024:00:13:02 +0530] "POST /spring-mvc-simple/Login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Dec/2024:00:13:02 +0530] "GET /spring-mvc-simple/Welcome HTTP/1.1" 200 1260
0:0:0:0:0:0:0:1 - - [20/Dec/2024:00:13:07 +0530] "GET /spring-mvc-simple/ctl/User/search HTTP/1.1" 200 2996
0:0:0:0:0:0:0:1 - - [20/Dec/2024:00:14:18 +0530] "GET /spring-mvc-simple/ctl/User?id=1 HTTP/1.1" 200 2529
0:0:0:0:0:0:0:1 - - [20/Dec/2024:00:14:32 +0530] "POST /spring-mvc-simple/ctl/User/search HTTP/1.1" 200 3002
0:0:0:0:0:0:0:1 - - [20/Dec/2024:00:14:35 +0530] "POST /spring-mvc-simple/ctl/User/search HTTP/1.1" 200 3002
0:0:0:0:0:0:0:1 - - [20/Dec/2024:00:14:36 +0530] "POST /spring-mvc-simple/ctl/User/search HTTP/1.1" 200 3002
0:0:0:0:0:0:0:1 - - [20/Dec/2024:00:14:37 +0530] "POST /spring-mvc-simple/ctl/User/search HTTP/1.1" 200 3002
0:0:0:0:0:0:0:1 - - [20/Dec/2024:00:14:37 +0530] "POST /spring-mvc-simple/ctl/User/search HTTP/1.1" 200 3002
0:0:0:0:0:0:0:1 - - [20/Dec/2024:00:14:37 +0530] "POST /spring-mvc-simple/ctl/User/search HTTP/1.1" 200 3002
0:0:0:0:0:0:0:1 - - [20/Dec/2024:00:14:37 +0530] "POST /spring-mvc-simple/ctl/User/search HTTP/1.1" 200 3002
0:0:0:0:0:0:0:1 - - [20/Dec/2024:00:14:38 +0530] "POST /spring-mvc-simple/ctl/User/search HTTP/1.1" 200 3002
0:0:0:0:0:0:0:1 - - [20/Dec/2024:00:14:38 +0530] "POST /spring-mvc-simple/ctl/User/search HTTP/1.1" 200 3002
0:0:0:0:0:0:0:1 - - [20/Dec/2024:00:14:40 +0530] "POST /spring-mvc-simple/ctl/User/search HTTP/1.1" 200 3002
0:0:0:0:0:0:0:1 - - [20/Dec/2024:00:14:41 +0530] "POST /spring-mvc-simple/ctl/User/search HTTP/1.1" 200 3002
0:0:0:0:0:0:0:1 - - [20/Dec/2024:00:14:41 +0530] "POST /spring-mvc-simple/ctl/User/search HTTP/1.1" 200 3002
0:0:0:0:0:0:0:1 - - [20/Dec/2024:00:15:05 +0530] "GET /spring-mvc-simple/ctl/User HTTP/1.1" 200 2472
0:0:0:0:0:0:0:1 - - [20/Dec/2024:00:15:08 +0530] "GET /spring-mvc-simple/Login?operation=logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Dec/2024:00:15:08 +0530] "GET /spring-mvc-simple/Login HTTP/1.1" 200 1704
0:0:0:0:0:0:0:1 - - [20/Dec/2024:00:15:11 +0530] "POST /spring-mvc-simple/Login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Dec/2024:00:15:11 +0530] "GET /spring-mvc-simple/Register HTTP/1.1" 200 2259
0:0:0:0:0:0:0:1 - - [20/Dec/2024:00:15:33 +0530] "POST /spring-mvc-simple/Login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Dec/2024:00:15:33 +0530] "GET /spring-mvc-simple/Welcome HTTP/1.1" 200 1260
0:0:0:0:0:0:0:1 - - [20/Dec/2024:00:15:37 +0530] "GET /spring-mvc-simple/Login?operation=logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Dec/2024:00:15:37 +0530] "GET /spring-mvc-simple/Login HTTP/1.1" 200 1704
0:0:0:0:0:0:0:1 - - [20/Dec/2024:00:17:53 +0530] "GET /spring-mvc-simple/ HTTP/1.1" 200 141
0:0:0:0:0:0:0:1 - - [20/Dec/2024:00:18:10 +0530] "GET /spring-mvc-simple/Welcome HTTP/1.1" 200 1037
0:0:0:0:0:0:0:1 - - [20/Dec/2024:00:19:23 +0530] "GET /spring-mvc-simple/Welcome HTTP/1.1" 200 1038
0:0:0:0:0:0:0:1 - - [20/Dec/2024:00:20:39 +0530] "GET /spring-mvc-simple/Welcome HTTP/1.1" 200 1176
0:0:0:0:0:0:0:1 - - [20/Dec/2024:00:21:00 +0530] "GET /spring-mvc-simple/Login HTTP/1.1" 200 1842
0:0:0:0:0:0:0:1 - - [20/Dec/2024:00:21:01 +0530] "GET /spring-mvc-simple/Welcome HTTP/1.1" 200 1176
0:0:0:0:0:0:0:1 - - [20/Dec/2024:00:21:03 +0530] "GET /spring-mvc-simple/Login HTTP/1.1" 200 1842
0:0:0:0:0:0:0:1 - - [20/Dec/2024:00:23:27 +0530] "POST /spring-mvc-simple/Login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Dec/2024:00:23:27 +0530] "GET /spring-mvc-simple/Welcome HTTP/1.1" 200 1283
0:0:0:0:0:0:0:1 - - [20/Dec/2024:00:23:29 +0530] "GET /spring-mvc-simple/Login?operation=logout HTTP/1.1" 200 1959
0:0:0:0:0:0:0:1 - - [20/Dec/2024:00:23:35 +0530] "POST /spring-mvc-simple/Login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Dec/2024:00:23:35 +0530] "GET /spring-mvc-simple/UserRegistration HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [20/Dec/2024:00:27:26 +0530] "GET /spring-mvc-simple/Login?operation=logout HTTP/1.1" 200 1959
0:0:0:0:0:0:0:1 - - [20/Dec/2024:00:27:29 +0530] "POST /spring-mvc-simple/Login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Dec/2024:00:27:29 +0530] "GET /spring-mvc-simple/Register HTTP/1.1" 200 2397
0:0:0:0:0:0:0:1 - - [20/Dec/2024:00:27:39 +0530] "GET /spring-mvc-simple/Login HTTP/1.1" 200 1891
0:0:0:0:0:0:0:1 - - [20/Dec/2024:00:27:47 +0530] "POST /spring-mvc-simple/Login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Dec/2024:00:27:47 +0530] "GET /spring-mvc-simple/Welcome HTTP/1.1" 200 1283
0:0:0:0:0:0:0:1 - - [20/Dec/2024:00:27:50 +0530] "GET /spring-mvc-simple/User/search HTTP/1.1" 404 682
